,company,bus_stop,hotel,landmark
"POLYGON ((86.037907 55.376146, 86.045793 55.378368, 86.046189 55.383428, 86.038699 55.386267, 86.030812 55.384045, 86.030417 55.378985, 86.037907 55.376146))",0.0,1.0,0.0,0.0
"POLYGON ((86.096578 55.33824, 86.09698 55.343301, 86.089501 55.346143, 86.081621 55.343923, 86.08122 55.338862, 86.088699 55.336021, 86.096578 55.33824))",3.0,2.0,0.0,0.0
"POLYGON ((86.128913 55.357231, 86.136797 55.359447, 86.137204 55.364507, 86.129725 55.367351, 86.12184 55.365135, 86.121435 55.360075, 86.128913 55.357231))",0.0,2.0,0.0,0.0
"POLYGON ((86.102444 55.315153, 86.094569 55.312933, 86.094167 55.307871, 86.101639 55.305029, 86.109514 55.307248, 86.109917 55.31231, 86.102444 55.315153))",0.0,3.0,0.0,0.0
"POLYGON ((86.188699 55.334467, 86.180818 55.332254, 86.180407 55.327193, 86.187874 55.324346, 86.195754 55.326559, 86.196167 55.331619, 86.188699 55.334467))",0.0,1.0,0.0,0.0
"POLYGON ((86.140609 55.311058, 86.148485 55.313274, 86.148893 55.318335, 86.141423 55.32118, 86.133546 55.318963, 86.133139 55.313902, 86.140609 55.311058))",0.0,3.0,0.0,0.0
"POLYGON ((85.932558 55.410787, 85.932173 55.405725, 85.939677 55.402892, 85.947565 55.40512, 85.947951 55.410181, 85.940447 55.413014, 85.932558 55.410787))",0.0,2.0,0.0,0.0
"POLYGON ((85.971351 55.312788, 85.978835 55.309953, 85.986708 55.31218, 85.987097 55.317243, 85.979613 55.320079, 85.971739 55.317852, 85.971351 55.312788))",0.0,2.0,0.0,0.0
"POLYGON ((86.024503 55.402065, 86.016614 55.399842, 86.016221 55.394782, 86.023715 55.391944, 86.031602 55.394166, 86.031998 55.399227, 86.024503 55.402065))",0.0,3.0,0.0,0.0
"POLYGON ((86.081621 55.343923, 86.07414 55.346764, 86.06626 55.344544, 86.065861 55.339483, 86.073341 55.336642, 86.08122 55.338862, 86.081621 55.343923))",0.0,5.0,1.0,0.0
"POLYGON ((86.009544 55.308733, 86.017417 55.310959, 86.01781 55.316021, 86.010328 55.318859, 86.002454 55.316633, 86.002063 55.31157, 86.009544 55.308733))",0.0,6.0,0.0,0.0
"POLYGON ((86.165058 55.327826, 86.172528 55.32498, 86.180407 55.327193, 86.180818 55.332254, 86.173349 55.3351, 86.165468 55.332886, 86.165058 55.327826))",0.0,4.0,1.0,0.0
"POLYGON ((86.085893 55.300589, 86.086293 55.305651, 86.07882 55.308493, 86.070946 55.306271, 86.070547 55.301209, 86.07802 55.298368, 86.085893 55.300589))",0.0,2.0,0.0,0.0
"POLYGON ((86.033164 55.315407, 86.025684 55.318246, 86.01781 55.316021, 86.017417 55.310959, 86.024896 55.308121, 86.032769 55.310345, 86.033164 55.315407))",0.0,3.0,0.0,0.0
"POLYGON ((86.036325 55.355902, 86.04381 55.353063, 86.051692 55.355285, 86.052089 55.360346, 86.044603 55.363186, 86.03672 55.360963, 86.036325 55.355902))",0.0,4.0,0.0,0.0
"POLYGON ((86.086171 55.498533, 86.093676 55.495691, 86.101584 55.497906, 86.101988 55.502963, 86.094482 55.505805, 86.086573 55.50359, 86.086171 55.498533))",0.0,1.0,0.0,0.0
"POLYGON ((86.103024 55.419198, 86.10262 55.414139, 86.11011 55.411297, 86.118003 55.413513, 86.118408 55.418571, 86.110918 55.421414, 86.103024 55.419198))",0.0,2.0,0.0,0.0
"POLYGON ((86.051692 55.355285, 86.059176 55.352445, 86.067057 55.354666, 86.067456 55.359727, 86.059972 55.362567, 86.052089 55.360346, 86.051692 55.355285))",0.0,10.0,1.0,0.0
"POLYGON ((86.117193 55.403395, 86.125085 55.40561, 86.125491 55.410669, 86.118003 55.413513, 86.11011 55.411297, 86.109705 55.406238, 86.117193 55.403395))",0.0,4.0,0.0,0.0
"POLYGON ((86.029627 55.368863, 86.029233 55.363802, 86.03672 55.360963, 86.044603 55.363186, 86.044999 55.368246, 86.037511 55.371085, 86.029627 55.368863))",1.0,6.0,0.0,0.0
"POLYGON ((86.082422 55.354045, 86.082822 55.359106, 86.075339 55.361947, 86.067456 55.359727, 86.067057 55.354666, 86.07454 55.351825, 86.082422 55.354045))",2.0,12.0,0.0,2.0
"POLYGON ((86.072143 55.321457, 86.064666 55.324298, 86.056789 55.322076, 86.056392 55.317014, 86.063869 55.314174, 86.071744 55.316396, 86.072143 55.321457))",1.0,0.0,0.0,0.0
"POLYGON ((86.00089 55.296381, 86.008368 55.293544, 86.016239 55.29577, 86.016631 55.300833, 86.009152 55.30367, 86.001281 55.301444, 86.00089 55.296381))",0.0,6.0,0.0,0.0
"POLYGON ((86.108493 55.39106, 86.100604 55.388843, 86.100201 55.383783, 86.107685 55.380941, 86.115573 55.383158, 86.115978 55.388217, 86.108493 55.39106))",0.0,5.0,0.0,0.0
"POLYGON ((86.085893 55.300589, 86.07802 55.298368, 86.077621 55.293306, 86.085092 55.290465, 86.092963 55.292685, 86.093364 55.297747, 86.085893 55.300589))",0.0,5.0,0.0,0.0
"POLYGON ((86.02726 55.338494, 86.035139 55.340718, 86.035534 55.345779, 86.028049 55.348618, 86.020169 55.346394, 86.019776 55.341332, 86.02726 55.338494))",0.0,2.0,0.0,0.0
"POLYGON ((86.17376 55.34016, 86.166288 55.343006, 86.158406 55.340792, 86.157997 55.335732, 86.165468 55.332886, 86.173349 55.3351, 86.17376 55.34016))",0.0,4.0,0.0,0.0
"POLYGON ((86.234379 55.421395, 86.242276 55.423602, 86.242696 55.428659, 86.235216 55.431509, 86.227317 55.429301, 86.226899 55.424244, 86.234379 55.421395))",0.0,4.0,0.0,0.0
"POLYGON ((86.132815 55.501703, 86.132407 55.496647, 86.139908 55.493803, 86.147817 55.496015, 86.148226 55.501071, 86.140725 55.503915, 86.132815 55.501703))",0.0,1.0,0.0,0.0
