,company,bus_stop,hotel,landmark
"POLYGON ((85.976118 55.274507, 85.976506 55.279571, 85.969027 55.282407, 85.96116 55.280177, 85.960774 55.275113, 85.968253 55.272278, 85.976118 55.274507))",0.0,1.0,0.0,0.0
"POLYGON ((86.17376 55.34016, 86.181642 55.342374, 86.182054 55.347433, 86.174582 55.35028, 86.166698 55.348066, 86.166288 55.343006, 86.17376 55.34016))",0.0,8.0,0.0,1.0
"POLYGON ((86.111114 55.520345, 86.111519 55.525401, 86.10401 55.528244, 86.096097 55.52603, 86.095693 55.520974, 86.103201 55.518132, 86.111114 55.520345))",0.0,3.0,0.0,0.0
"POLYGON ((86.020956 55.356517, 86.028443 55.353679, 86.036325 55.355902, 86.03672 55.360963, 86.029233 55.363802, 86.02135 55.361579, 86.020956 55.356517))",0.0,2.0,0.0,0.0
"POLYGON ((86.087781 55.518759, 86.087378 55.513703, 86.094886 55.510861, 86.102797 55.513076, 86.103201 55.518132, 86.095693 55.520974, 86.087781 55.518759))",0.0,4.0,0.0,0.0
"POLYGON ((85.999718 55.281191, 86.000108 55.286254, 85.99263 55.289091, 85.984762 55.286863, 85.984373 55.2818, 85.991851 55.278963, 85.999718 55.281191))",0.0,2.0,0.0,0.0
"POLYGON ((85.99302 55.294154, 85.98554 55.296991, 85.97767 55.294763, 85.977282 55.289699, 85.984762 55.286863, 85.99263 55.289091, 85.99302 55.294154))",0.0,5.0,0.0,0.0
"POLYGON ((86.113551 55.357858, 86.106071 55.360701, 86.098187 55.358483, 86.097785 55.353422, 86.105264 55.35058, 86.113147 55.352798, 86.113551 55.357858))",0.0,3.0,1.0,0.0
"POLYGON ((86.211936 55.429942, 86.21152 55.424885, 86.219001 55.422036, 86.226899 55.424244, 86.227317 55.429301, 86.219835 55.43215, 86.211936 55.429942))",0.0,2.0,0.0,0.0
"POLYGON ((86.126074 55.321807, 86.126479 55.326868, 86.119006 55.329712, 86.111127 55.327494, 86.110724 55.322433, 86.118197 55.319589, 86.126074 55.321807))",0.0,3.0,0.0,0.0
"POLYGON ((86.062675 55.298987, 86.0552 55.301827, 86.047328 55.299604, 86.046932 55.294542, 86.054406 55.291702, 86.062277 55.293925, 86.062675 55.298987))",0.0,1.0,0.0,0.0
"POLYGON ((86.125491 55.410669, 86.133384 55.412884, 86.133791 55.417942, 86.126303 55.420786, 86.118408 55.418571, 86.118003 55.413513, 86.125491 55.410669))",0.0,9.0,1.0,0.0
