,hotel,bus_stop,company,landmark
"POLYGON ((87.170901 53.828598, 87.170395 53.823514, 87.177528 53.820614, 87.185167 53.822796, 87.185675 53.82788, 87.178542 53.830781, 87.170901 53.828598))",0.0,2.0,0.0,0.0
"POLYGON ((87.285426 53.787227, 87.277791 53.785051, 87.277274 53.779968, 87.28439 53.777062, 87.292024 53.779238, 87.292543 53.784321, 87.285426 53.787227))",0.0,2.0,0.0,1.0
"POLYGON ((87.344952 53.789375, 87.352589 53.791547, 87.353115 53.796628, 87.346002 53.799538, 87.338363 53.797366, 87.337839 53.792284, 87.344952 53.789375))",0.0,1.0,0.0,0.0
"POLYGON ((87.134104 53.906988, 87.141757 53.909171, 87.142261 53.914253, 87.135111 53.917152, 87.127456 53.914969, 87.126954 53.909886, 87.134104 53.906988))",0.0,2.0,0.0,0.0
"POLYGON ((87.116065 53.723952, 87.115566 53.718865, 87.122688 53.715968, 87.130309 53.718157, 87.13081 53.723243, 87.123688 53.726141, 87.116065 53.723952))",0.0,1.0,0.0,0.0
"POLYGON ((87.143453 53.776286, 87.151085 53.778472, 87.151589 53.783557, 87.144459 53.786456, 87.136826 53.78427, 87.136324 53.779185, 87.143453 53.776286))",0.0,2.0,0.0,0.0
"POLYGON ((87.171454 53.759603, 87.170948 53.754518, 87.17807 53.751618, 87.185699 53.753802, 87.186206 53.758887, 87.179083 53.761788, 87.171454 53.759603))",0.0,0.0,1.0,0.0
"POLYGON ((87.152596 53.793726, 87.159726 53.790827, 87.16736 53.793011, 87.167866 53.798095, 87.160735 53.800995, 87.1531 53.79881, 87.152596 53.793726))",0.0,1.0,0.0,0.0
"POLYGON ((87.104307 53.755176, 87.103808 53.75009, 87.110936 53.747194, 87.118562 53.749383, 87.119062 53.754468, 87.111934 53.757366, 87.104307 53.755176))",2.0,4.0,4.0,0.0
"POLYGON ((87.299139 53.776331, 87.306774 53.778507, 87.307294 53.783589, 87.300179 53.786496, 87.292543 53.784321, 87.292024 53.779238, 87.299139 53.776331))",0.0,2.0,0.0,0.0
"POLYGON ((87.124444 53.884474, 87.132093 53.886658, 87.132596 53.891741, 87.125447 53.894639, 87.117797 53.892454, 87.117296 53.887371, 87.124444 53.884474))",0.0,4.0,0.0,1.0
"POLYGON ((87.120562 53.769725, 87.120062 53.76464, 87.12719 53.761742, 87.134819 53.763929, 87.135321 53.769015, 87.128192 53.771913, 87.120562 53.769725))",0.0,8.0,4.0,0.0
"POLYGON ((87.27624 53.769802, 87.283872 53.771979, 87.28439 53.777062, 87.277274 53.779968, 87.26964 53.77779, 87.269123 53.772707, 87.27624 53.769802))",0.0,1.0,0.0,0.0
"POLYGON ((87.134104 53.906988, 87.133601 53.901906, 87.14075 53.899007, 87.148402 53.90119, 87.148906 53.906272, 87.141757 53.909171, 87.134104 53.906988))",0.0,5.0,0.0,0.0
"POLYGON ((87.201974 53.768338, 87.202483 53.773422, 87.195359 53.776324, 87.187727 53.774141, 87.18722 53.769056, 87.194343 53.766155, 87.201974 53.768338))",0.0,1.0,0.0,0.0
"POLYGON ((87.217776 53.851851, 87.224909 53.848948, 87.232554 53.851126, 87.233067 53.856208, 87.225934 53.859112, 87.218288 53.856933, 87.217776 53.851851))",0.0,0.0,2.0,0.0
"POLYGON ((87.156197 53.755233, 87.16332 53.752333, 87.170948 53.754518, 87.171454 53.759603, 87.16433 53.762503, 87.1567 53.760318, 87.156197 53.755233))",1.0,1.0,2.0,0.0
"POLYGON ((87.22136 53.887423, 87.220847 53.882342, 87.227985 53.879439, 87.235635 53.881616, 87.236149 53.886698, 87.229011 53.889601, 87.22136 53.887423))",0.0,1.0,0.0,0.0
"POLYGON ((87.148066 53.747961, 87.155189 53.745062, 87.162816 53.747248, 87.16332 53.752333, 87.156197 53.755233, 87.148569 53.753047, 87.148066 53.747961))",1.0,1.0,1.0,0.0
"POLYGON ((87.252484 53.901212, 87.251968 53.896132, 87.259105 53.893227, 87.266758 53.895402, 87.267276 53.900483, 87.260139 53.903388, 87.252484 53.901212))",0.0,1.0,0.0,0.0
"POLYGON ((87.113431 53.772622, 87.120562 53.769725, 87.128192 53.771913, 87.128693 53.776998, 87.121562 53.779896, 87.113931 53.777708, 87.113431 53.772622))",1.0,5.0,2.0,0.0
"POLYGON ((87.156197 53.755233, 87.1567 53.760318, 87.149575 53.763217, 87.141946 53.761031, 87.141444 53.755946, 87.148569 53.753047, 87.156197 53.755233))",2.0,2.0,0.0,7.0
"POLYGON ((87.125447 53.894639, 87.125949 53.899722, 87.118799 53.902619, 87.111148 53.900434, 87.110647 53.895352, 87.117797 53.892454, 87.125447 53.894639))",0.0,6.0,1.0,0.0
"POLYGON ((87.201467 53.837326, 87.208599 53.834423, 87.216242 53.836603, 87.216753 53.841686, 87.20962 53.844589, 87.201977 53.842408, 87.201467 53.837326))",0.0,1.0,0.0,0.0
"POLYGON ((87.139938 53.740689, 87.14706 53.73779, 87.154686 53.739977, 87.155189 53.745062, 87.148066 53.747961, 87.14044 53.745775, 87.139938 53.740689))",0.0,0.0,1.0,0.0
"POLYGON ((87.224909 53.848948, 87.217776 53.851851, 87.210131 53.849671, 87.20962 53.844589, 87.216753 53.841686, 87.224397 53.843865, 87.224909 53.848948))",0.0,1.0,0.0,0.0
"POLYGON ((87.16332 53.752333, 87.162816 53.747248, 87.169938 53.744348, 87.177564 53.746533, 87.17807 53.751618, 87.170948 53.754518, 87.16332 53.752333))",0.0,0.0,1.0,0.0
"POLYGON ((87.121562 53.779896, 87.128693 53.776998, 87.136324 53.779185, 87.136826 53.78427, 87.129695 53.787168, 87.122063 53.784981, 87.121562 53.779896))",0.0,4.0,2.0,1.0
"POLYGON ((87.225381 53.779966, 87.224869 53.774882, 87.231989 53.771979, 87.239622 53.774159, 87.240135 53.779243, 87.233014 53.782146, 87.225381 53.779966))",0.0,1.0,0.0,0.0
"POLYGON ((87.177021 53.81553, 87.177528 53.820614, 87.170395 53.823514, 87.162755 53.821331, 87.16225 53.816247, 87.169383 53.813347, 87.177021 53.81553))",0.0,2.0,0.0,0.0
"POLYGON ((87.321521 53.777773, 87.322044 53.782856, 87.31493 53.785764, 87.307294 53.783589, 87.306774 53.778507, 87.313887 53.775599, 87.321521 53.777773))",0.0,2.0,0.0,0.0
"POLYGON ((87.384201 53.81039, 87.377089 53.813302, 87.369448 53.811132, 87.36892 53.806051, 87.376032 53.80314, 87.383672 53.80531, 87.384201 53.81039))",0.0,1.0,0.0,0.0
"POLYGON ((87.243801 53.888875, 87.250937 53.88597, 87.258589 53.888146, 87.259105 53.893227, 87.251968 53.896132, 87.244316 53.893956, 87.243801 53.888875))",0.0,1.0,0.0,0.0
"POLYGON ((87.07133 53.72098, 87.063709 53.718787, 87.063216 53.7137, 87.070342 53.710806, 87.077961 53.712998, 87.078456 53.718085, 87.07133 53.72098))",0.0,3.0,0.0,0.0
"POLYGON ((87.287877 53.738572, 87.287359 53.733489, 87.294468 53.730582, 87.302094 53.732759, 87.302614 53.737842, 87.295505 53.740749, 87.287877 53.738572))",0.0,2.0,0.0,0.0
"POLYGON ((87.134104 53.906988, 87.126954 53.909886, 87.119301 53.907702, 87.118799 53.902619, 87.125949 53.899722, 87.133601 53.901906, 87.134104 53.906988))",0.0,3.0,0.0,0.0
"POLYGON ((87.118562 53.749383, 87.125688 53.746485, 87.133315 53.748673, 87.133816 53.753758, 87.126689 53.756656, 87.119062 53.754468, 87.118562 53.749383))",0.0,2.0,0.0,2.0
"POLYGON ((87.300179 53.786496, 87.307294 53.783589, 87.31493 53.785764, 87.315451 53.790846, 87.308335 53.793754, 87.300699 53.791579, 87.300179 53.786496))",0.0,1.0,0.0,0.0
"POLYGON ((87.241228 53.863468, 87.234094 53.866372, 87.226446 53.864194, 87.225934 53.859112, 87.233067 53.856208, 87.240714 53.858386, 87.241228 53.863468))",0.0,2.0,0.0,0.0
"POLYGON ((87.138934 53.730517, 87.146558 53.732704, 87.14706 53.73779, 87.139938 53.740689, 87.132312 53.738501, 87.131812 53.733415, 87.138934 53.730517))",0.0,0.0,0.0,1.0
"POLYGON ((87.144459 53.786456, 87.151589 53.783557, 87.159221 53.785742, 87.159726 53.790827, 87.152596 53.793726, 87.144962 53.791541, 87.144459 53.786456))",0.0,1.0,0.0,0.0
"POLYGON ((87.139938 53.740689, 87.14044 53.745775, 87.133315 53.748673, 87.125688 53.746485, 87.125188 53.741399, 87.132312 53.738501, 87.139938 53.740689))",0.0,2.0,1.0,0.0
"POLYGON ((87.008608 53.76228, 87.009096 53.767367, 87.001956 53.770258, 86.994329 53.768062, 86.993842 53.762974, 87.000982 53.760084, 87.008608 53.76228))",0.0,0.0,0.0,1.0
"POLYGON ((87.157135 53.839481, 87.164272 53.836581, 87.171914 53.838764, 87.17242 53.843847, 87.165283 53.846748, 87.15764 53.844564, 87.157135 53.839481))",0.0,1.0,0.0,0.0
